Localização;CodProduto;Data;Quantidade;Vendendor;idCliente
Canada;P023;26/07/2022;559;9;234
United Kingdom;P005;26/07/2022;506;2;236
Venezuela;P043;26/07/2022;93;5;135
United Kingdom;P044;27/07/2022;555;6;242
Cuba;P043;27/07/2022;133;3;465
Iraq;P031;27/07/2022;344;7;467
Italy;P025;27/07/2022;294;9;331
Ecuador;P006;27/07/2022;97;10;459
Thailand;P007;27/07/2022;251;9;547
Brazil;P006;27/07/2022;215;8;643
Chile;P042;27/07/2022;114;10;467
Spain;P041;27/07/2022;232;9;211
Poland;P020;27/07/2022;123;9;174
Paraguay;P023;27/07/2022;135;9;423
Canada;P022;27/07/2022;416;6;606
Uruguay;P005;27/07/2022;314;8;392
United Kingdom;P004;27/07/2022;470;8;461
Venezuela;P042;27/07/2022;157;6;129
Iraq;P039;27/07/2022;413;2;395
Japan;P038;27/07/2022;566;3;277
Mongolia;P019;27/07/2022;163;9;47
Pakistan;P020;27/07/2022;361;7;166
Nepal;P028;27/07/2022;296;9;602
Chile;P002;27/07/2022;112;7;490
Spain;P001;27/07/2022;232;8;301
South Africa;P015;27/07/2022;185;8;235
Peru;P036;27/07/2022;125;7;407
USA;P035;27/07/2022;419;2;566
Algeria;P018;27/07/2022;238;8;106
Germany;P017;27/07/2022;145;6;466
Saudi Arabia;P004;27/07/2022;117;2;251
Ecuador;P052;27/07/2022;342;6;273
Argentina;P003;27/07/2022;437;4;276
Indonesia;P033;27/07/2022;329;7;147
Libya;P040;27/07/2022;97;8;463
Ukraine;P015;27/07/2022;270;8;336
France;P014;27/07/2022;426;3;123
Malaysia;P028;27/07/2022;390;2;609
Thailand;P049;27/07/2022;379;7;697
Fiji;P031;27/07/2022;81;10;237
Russia;P030;27/07/2022;85;8;131
New Zealand;P028;27/07/2022;82;2;196
Ecuador;P012;27/07/2022;251;9;223
Mexico;P011;27/07/2022;572;9;444
Yemen;P003;27/07/2022;592;4;206
United Kingdom;P046;27/07/2022;522;2;677
Turkey;P007;27/07/2022;324;2;571
Honduras;P028;27/07/2022;75;10;499
Italy;P027;27/07/2022;156;9;688
Bolivia;P008;27/07/2022;288;6;534
Thailand;P009;27/07/2022;522;8;208
Brazil;P008;27/07/2022;412;9;163
Chile;P044;27/07/2022;81;6;73
Poland;P022;27/07/2022;183;7;528
Paraguay;P025;27/07/2022;311;8;532
Canada;P024;27/07/2022;363;3;108
United Kingdom;P006;27/07/2022;427;8;572
Venezuela;P044;27/07/2022;117;9;349
United Kingdom;P045;28/07/2022;380;3;369
Cuba;P044;28/07/2022;173;1;389
Iraq;P032;28/07/2022;468;10;356
Italy;P026;28/07/2022;548;10;434
Ecuador;P007;28/07/2022;37;10;287
Thailand;P008;28/07/2022;214;5;418
Brazil;P007;28/07/2022;409;4;483
Chile;P043;28/07/2022;349;10;412
Spain;P042;28/07/2022;296;5;618
Poland;P021;28/07/2022;468;6;690
Paraguay;P024;28/07/2022;278;2;79
Canada;P023;28/07/2022;298;9;290
Uruguay;P006;28/07/2022;435;1;573
United Kingdom;P005;28/07/2022;442;4;162
Venezuela;P043;28/07/2022;108;10;137
Iraq;P040;28/07/2022;253;2;374
Japan;P039;28/07/2022;570;10;516
Mongolia;P020;28/07/2022;239;9;376
Pakistan;P021;28/07/2022;325;10;118
Nepal;P029;28/07/2022;534;1;617
Chile;P003;28/07/2022;235;6;35
Spain;P002;28/07/2022;442;10;587
South Africa;P016;28/07/2022;234;8;46
Peru;P037;28/07/2022;70;7;367
USA;P036;28/07/2022;319;7;300
Algeria;P019;28/07/2022;245;1;353
Germany;P018;28/07/2022;389;1;220
Saudi Arabia;P005;28/07/2022;160;3;224
Ecuador;P053;28/07/2022;343;2;133
Mexico;P052;28/07/2022;385;6;634
Argentina;P004;28/07/2022;447;4;481
Indonesia;P034;28/07/2022;218;4;655
Libya;P041;28/07/2022;56;1;462
Ukraine;P016;28/07/2022;94;7;672
France;P015;28/07/2022;98;2;482
Malaysia;P029;28/07/2022;153;9;550
Thailand;P050;28/07/2022;409;1;460
Fiji;P032;28/07/2022;66;4;588
Russia;P031;28/07/2022;353;5;386
New Zealand;P029;28/07/2022;50;2;353
Ecuador;P013;28/07/2022;161;2;81
Mexico;P012;28/07/2022;417;9;407
Yemen;P004;28/07/2022;434;9;42
United Kingdom;P047;28/07/2022;188;4;680
Turkey;P008;28/07/2022;215;8;349
Honduras;P029;28/07/2022;80;2;397
Italy;P028;28/07/2022;131;4;543
Bolivia;P009;28/07/2022;452;4;244
Thailand;P010;28/07/2022;254;1;435
Brazil;P009;28/07/2022;415;2;48
Chile;P045;28/07/2022;401;5;256
Poland;P023;28/07/2022;243;8;486
Paraguay;P026;28/07/2022;225;9;384
Canada;P025;28/07/2022;208;2;555
United Kingdom;P007;28/07/2022;111;7;584
Venezuela;P045;28/07/2022;492;9;381
United Kingdom;P046;29/07/2022;589;8;534
Cuba;P045;29/07/2022;444;3;175
Iraq;P033;29/07/2022;307;2;402
Italy;P027;29/07/2022;582;9;514
Ecuador;P008;29/07/2022;42;8;249
Thailand;P009;29/07/2022;177;7;672
Brazil;P008;29/07/2022;262;10;308
Chile;P044;29/07/2022;375;6;164
Spain;P043;29/07/2022;444;9;535
Poland;P022;29/07/2022;430;3;437
Paraguay;P025;29/07/2022;116;6;382
Canada;P024;29/07/2022;287;3;132
Uruguay;P007;29/07/2022;321;5;303
United Kingdom;P006;29/07/2022;343;9;601
Venezuela;P044;29/07/2022;221;6;282
Iraq;P041;29/07/2022;555;9;698
Japan;P040;29/07/2022;507;2;333
Mongolia;P021;29/07/2022;178;4;182
Pakistan;P022;29/07/2022;448;5;459
Nepal;P047;29/07/2022;455;8;646
Chile;P004;29/07/2022;196;9;387
Spain;P003;29/07/2022;205;10;694
South Africa;P017;29/07/2022;279;9;569
Peru;P038;29/07/2022;393;7;378
USA;P037;29/07/2022;346;4;92
Algeria;P020;29/07/2022;186;6;292
Germany;P019;29/07/2022;121;9;667
Saudi Arabia;P006;29/07/2022;228;4;195
Iraq;P001;29/07/2022;424;4;333
Mexico;P053;29/07/2022;190;8;567
Argentina;P005;29/07/2022;439;8;284
Indonesia;P035;29/07/2022;52;9;594
Libya;P042;29/07/2022;72;9;232
Ukraine;P017;29/07/2022;316;5;407
France;P016;29/07/2022;413;9;489
Malaysia;P030;29/07/2022;240;7;13
Thailand;P051;29/07/2022;153;2;162
Brazil;P050;29/07/2022;377;7;269
Fiji;P033;29/07/2022;148;9;151
Russia;P032;29/07/2022;212;9;409
New Zealand;P030;29/07/2022;89;5;494
Ecuador;P014;29/07/2022;144;9;10
Mexico;P013;29/07/2022;117;2;275
Yemen;P005;29/07/2022;178;5;636
United Kingdom;P048;29/07/2022;288;7;435
Turkey;P040;29/07/2022;569;3;56
Honduras;P030;29/07/2022;88;2;653
Italy;P029;29/07/2022;438;6;395
Bolivia;P010;29/07/2022;306;9;92
Thailand;P011;29/07/2022;486;7;164
Brazil;P010;29/07/2022;223;10;349
Chile;P046;29/07/2022;486;9;465
Poland;P024;29/07/2022;518;9;49
Paraguay;P027;29/07/2022;154;5;203
Canada;P026;29/07/2022;166;7;25
United Kingdom;P008;29/07/2022;258;6;581
Venezuela;P046;29/07/2022;553;8;290
United Kingdom;P049;01/08/2022;67;3;476
Cuba;P048;01/08/2022;142;6;208
Iraq;P036;01/08/2022;343;3;645
Italy;P030;01/08/2022;456;5;224
Ecuador;P011;01/08/2022;57;8;673
Thailand;P012;01/08/2022;288;8;58
Brazil;P011;01/08/2022;438;3;186
Chile;P047;01/08/2022;236;8;590
Spain;P046;01/08/2022;446;9;370
Poland;P025;01/08/2022;135;8;614
Paraguay;P028;01/08/2022;380;4;530
Canada;P027;01/08/2022;103;9;475
Uruguay;P010;01/08/2022;127;9;694
United Kingdom;P009;01/08/2022;591;3;301
Venezuela;P047;01/08/2022;188;9;226
Iraq;P044;01/08/2022;335;5;627
Japan;P043;01/08/2022;285;1;651
Mongolia;P024;01/08/2022;170;10;54
Pakistan;P025;01/08/2022;504;8;283
Nepal;P050;01/08/2022;551;10;594
Chile;P007;01/08/2022;134;5;293
Spain;P006;01/08/2022;293;8;531
South Africa;P020;01/08/2022;155;10;670
Peru;P041;01/08/2022;421;6;376
USA;P040;01/08/2022;266;4;608
Algeria;P023;01/08/2022;152;7;571
Germany;P022;01/08/2022;241;9;303
Saudi Arabia;P009;01/08/2022;268;8;397
Iraq;P004;01/08/2022;562;10;141
Japan;P003;01/08/2022;216;4;99
Argentina;P008;01/08/2022;214;4;320
Indonesia;P038;01/08/2022;101;4;425
Libya;P045;01/08/2022;208;10;167
Ukraine;P020;01/08/2022;144;3;288
France;P019;01/08/2022;275;7;405
Malaysia;P033;01/08/2022;152;7;395
Peru;P001;01/08/2022;184;2;394
Brazil;P053;01/08/2022;120;2;281
Fiji;P036;01/08/2022;176;9;566
Russia;P035;01/08/2022;459;4;209
Nicaragua;P001;01/08/2022;183;8;177
Ecuador;P017;01/08/2022;258;9;298
Mexico;P016;01/08/2022;103;1;685
Yemen;P008;01/08/2022;304;10;573
United Kingdom;P051;01/08/2022;558;10;557
Turkey;P043;01/08/2022;318;2;23
Honduras;P033;01/08/2022;134;9;108
Italy;P032;01/08/2022;431;2;128
Bolivia;P028;01/08/2022;484;5;468
Thailand;P014;01/08/2022;574;9;138
Brazil;P013;01/08/2022;463;5;93
Chile;P049;01/08/2022;563;6;494
Poland;P027;01/08/2022;417;8;20
Paraguay;P030;01/08/2022;451;10;693
Canada;P029;01/08/2022;10;8;442
United Kingdom;P011;01/08/2022;118;5;133
Venezuela;P049;01/08/2022;596;1;608
United Kingdom;P050;02/08/2022;152;5;51
Cuba;P049;02/08/2022;50;9;63
Iraq;P037;02/08/2022;173;8;152
Italy;P031;02/08/2022;198;9;472
Ecuador;P012;02/08/2022;90;10;82
Thailand;P013;02/08/2022;152;1;431
Brazil;P012;02/08/2022;140;4;621
Chile;P048;02/08/2022;478;2;653
Spain;P047;02/08/2022;427;4;32
Poland;P026;02/08/2022;169;2;160
Paraguay;P029;02/08/2022;407;3;326
Canada;P028;02/08/2022;363;1;231
Uruguay;P011;02/08/2022;371;1;54
United Kingdom;P010;02/08/2022;269;5;159
Venezuela;P048;02/08/2022;259;5;522
Iraq;P045;02/08/2022;510;5;658
Japan;P044;02/08/2022;271;1;572
Mongolia;P025;02/08/2022;326;2;665
Pakistan;P026;02/08/2022;308;6;223
Nepal;P051;02/08/2022;399;10;421
Chile;P008;02/08/2022;143;1;100
Spain;P007;02/08/2022;101;4;78
South Africa;P021;02/08/2022;54;5;207
Peru;P042;02/08/2022;73;3;263
USA;P041;02/08/2022;182;2;119
Algeria;P024;02/08/2022;50;4;594
Germany;P023;02/08/2022;378;6;487
Saudi Arabia;P010;02/08/2022;118;8;508
Iraq;P005;02/08/2022;359;1;151
Japan;P004;02/08/2022;183;1;487
Argentina;P009;02/08/2022;329;7;167
Indonesia;P039;02/08/2022;187;5;269
Libya;P046;02/08/2022;173;6;206
Ukraine;P021;02/08/2022;114;2;533
France;P020;02/08/2022;459;7;316
Malaysia;P034;02/08/2022;383;7;490
Peru;P002;02/08/2022;220;6;433
USA;P001;02/08/2022;244;8;447
Fiji;P037;02/08/2022;172;8;584
Russia;P036;02/08/2022;531;7;502
Nicaragua;P002;02/08/2022;148;10;100
Ecuador;P018;02/08/2022;78;10;634
Mexico;P017;02/08/2022;542;2;488
Yemen;P009;02/08/2022;19;8;549
United Kingdom;P052;02/08/2022;292;10;676
Turkey;P044;02/08/2022;328;9;182
Honduras;P034;02/08/2022;74;9;627
Italy;P033;02/08/2022;396;4;441
Bolivia;P029;02/08/2022;516;6;244
Thailand;P015;02/08/2022;10;6;57
Brazil;P014;02/08/2022;54;3;163
Chile;P050;02/08/2022;447;4;168
Poland;P028;02/08/2022;46;10;643
Paraguay;P031;02/08/2022;398;9;145
Canada;P030;02/08/2022;83;1;182
United Kingdom;P012;02/08/2022;586;7;379
Venezuela;P050;02/08/2022;125;10;469
United Kingdom;P051;03/08/2022;138;9;103
Cuba;P050;03/08/2022;557;9;563
Iraq;P038;03/08/2022;422;5;559
Italy;P032;03/08/2022;564;8;45
Ecuador;P013;03/08/2022;74;6;269
Thailand;P014;03/08/2022;397;2;138
Brazil;P013;03/08/2022;370;9;149
Chile;P049;03/08/2022;419;4;516
Spain;P048;03/08/2022;201;3;99
Poland;P027;03/08/2022;490;10;163
Paraguay;P030;03/08/2022;276;6;700
Canada;P029;03/08/2022;311;10;410
Uruguay;P012;03/08/2022;305;2;498
United Kingdom;P011;03/08/2022;490;9;380
Venezuela;P049;03/08/2022;196;4;313
Iraq;P046;03/08/2022;557;10;162
Japan;P045;03/08/2022;333;3;198
Mongolia;P026;03/08/2022;363;10;90
Pakistan;P027;03/08/2022;277;5;572
Nepal;P052;03/08/2022;271;8;242
Chile;P009;03/08/2022;262;3;368
Spain;P008;03/08/2022;374;7;421
South Africa;P022;03/08/2022;140;5;622
Peru;P043;03/08/2022;460;7;700
USA;P042;03/08/2022;460;5;207
Algeria;P025;03/08/2022;100;10;669
Germany;P024;03/08/2022;268;6;356
Saudi Arabia;P011;03/08/2022;358;5;452
Iraq;P006;03/08/2022;490;4;12
Japan;P005;03/08/2022;85;9;206
Argentina;P010;03/08/2022;203;8;366
Indonesia;P040;03/08/2022;137;1;74
Libya;P047;03/08/2022;80;7;546
Ukraine;P022;03/08/2022;58;7;302
France;P021;03/08/2022;319;4;528
Malaysia;P035;03/08/2022;383;7;410
Peru;P003;03/08/2022;307;9;309
USA;P002;03/08/2022;385;6;517
Fiji;P038;03/08/2022;187;3;345
Russia;P037;03/08/2022;105;9;278
Nicaragua;P003;03/08/2022;154;4;336
Ecuador;P019;03/08/2022;159;5;173
Mexico;P018;03/08/2022;230;10;649
Yemen;P010;03/08/2022;82;10;528
United Kingdom;P053;03/08/2022;556;10;238
Turkey;P045;03/08/2022;207;10;600
Honduras;P035;03/08/2022;58;6;162
Italy;P034;03/08/2022;69;10;657
Bolivia;P030;03/08/2022;575;5;356
Thailand;P016;03/08/2022;473;4;27
Brazil;P015;03/08/2022;255;1;169
Chile;P051;03/08/2022;73;1;307
Poland;P029;03/08/2022;427;8;464
Paraguay;P032;03/08/2022;403;9;216
Canada;P031;03/08/2022;231;8;272
United Kingdom;P013;03/08/2022;196;7;512
Venezuela;P051;03/08/2022;347;9;283
United Kingdom;P052;04/08/2022;491;6;365
Cuba;P051;04/08/2022;249;6;176
Iraq;P039;04/08/2022;111;2;557
Italy;P033;04/08/2022;369;6;648
Ecuador;P014;04/08/2022;35;5;415
Thailand;P015;04/08/2022;397;8;383
Brazil;P014;04/08/2022;292;9;407
Chile;P050;04/08/2022;500;6;186
Spain;P049;04/08/2022;279;9;273
Poland;P028;04/08/2022;246;2;125
Paraguay;P031;04/08/2022;126;5;518
Canada;P030;04/08/2022;313;8;619
Uruguay;P013;04/08/2022;203;4;587
United Kingdom;P012;04/08/2022;296;8;608
Venezuela;P050;04/08/2022;192;3;59
Iraq;P047;04/08/2022;171;10;353
Japan;P046;04/08/2022;387;2;398
Mongolia;P027;04/08/2022;533;7;573
Pakistan;P028;04/08/2022;508;6;237
Nepal;P053;04/08/2022;159;8;655
Chile;P010;04/08/2022;54;9;250
Spain;P009;04/08/2022;469;9;41
South Africa;P023;04/08/2022;196;2;471
Peru;P044;04/08/2022;351;7;396
USA;P043;04/08/2022;236;6;399
Algeria;P026;04/08/2022;79;4;107
Germany;P025;04/08/2022;265;10;272
Saudi Arabia;P012;04/08/2022;551;6;309
Iraq;P007;04/08/2022;313;4;349
Japan;P006;04/08/2022;235;2;333
Argentina;P011;04/08/2022;348;6;211
Indonesia;P041;04/08/2022;231;5;551
Libya;P048;04/08/2022;284;3;346
Ukraine;P023;04/08/2022;341;8;680
France;P022;04/08/2022;98;4;320
Malaysia;P036;04/08/2022;111;4;218
Peru;P004;04/08/2022;121;3;128
USA;P003;04/08/2022;268;9;597
Fiji;P039;04/08/2022;186;2;561
Russia;P038;04/08/2022;159;9;608
Nicaragua;P004;04/08/2022;56;7;254
Ecuador;P020;04/08/2022;284;3;299
Mexico;P019;04/08/2022;424;6;12
Yemen;P011;04/08/2022;408;10;43
Indonesia;P001;04/08/2022;553;9;106
Turkey;P046;04/08/2022;398;8;71
Honduras;P036;04/08/2022;58;9;127
Italy;P035;04/08/2022;79;9;621
Bolivia;P031;04/08/2022;148;9;675
Thailand;P017;04/08/2022;335;8;267
Brazil;P016;04/08/2022;409;2;614
Chile;P052;04/08/2022;185;9;361
Poland;P030;04/08/2022;14;7;67
Paraguay;P033;04/08/2022;346;8;87
Canada;P032;04/08/2022;168;9;443
United Kingdom;P014;04/08/2022;123;9;446
Venezuela;P052;04/08/2022;75;8;567
United Kingdom;P053;05/08/2022;188;7;604
Cuba;P052;05/08/2022;305;1;396
Iraq;P040;05/08/2022;565;8;80
Italy;P034;05/08/2022;157;4;89
Ecuador;P015;05/08/2022;84;6;566
Thailand;P016;05/08/2022;180;2;67
Brazil;P015;05/08/2022;304;10;300
Chile;P051;05/08/2022;389;1;635
Spain;P050;05/08/2022;359;5;201
Poland;P029;05/08/2022;296;3;559
Paraguay;P032;05/08/2022;427;2;288
Canada;P031;05/08/2022;178;4;162
Uruguay;P014;05/08/2022;407;3;563
United Kingdom;P013;05/08/2022;564;7;239
Venezuela;P051;05/08/2022;167;10;147
Iraq;P048;05/08/2022;234;3;57
Japan;P047;05/08/2022;287;2;21
Mongolia;P028;05/08/2022;357;6;192
Pakistan;P029;05/08/2022;485;4;675
Tanzania;P020;05/08/2022;299;4;212
Chile;P011;05/08/2022;268;6;179
Spain;P010;05/08/2022;132;3;349
South Africa;P024;05/08/2022;223;2;380
Peru;P045;05/08/2022;295;1;211
USA;P044;05/08/2022;146;8;613
Algeria;P027;05/08/2022;60;3;509
Germany;P026;05/08/2022;499;8;342
Saudi Arabia;P013;05/08/2022;506;3;361
Iraq;P008;05/08/2022;444;1;255
Japan;P007;05/08/2022;338;7;142
Argentina;P012;05/08/2022;199;7;440
Indonesia;P042;05/08/2022;222;5;327
Libya;P049;05/08/2022;169;9;590
Ukraine;P024;05/08/2022;146;3;14
France;P023;05/08/2022;495;6;211
Malaysia;P037;05/08/2022;108;3;221
Peru;P005;05/08/2022;380;9;549
USA;P004;05/08/2022;306;1;607
Fiji;P040;05/08/2022;110;1;520
Russia;P039;05/08/2022;277;5;256
Nicaragua;P005;05/08/2022;90;6;458
Ecuador;P021;05/08/2022;91;4;110
Mexico;P020;05/08/2022;409;7;446
Yemen;P012;05/08/2022;50;6;680
Indonesia;P002;05/08/2022;216;7;184
Turkey;P047;05/08/2022;512;4;611
Honduras;P037;05/08/2022;97;10;218
Italy;P036;05/08/2022;34;9;286
Bolivia;P032;05/08/2022;491;2;25
Thailand;P018;05/08/2022;533;2;646
Brazil;P017;05/08/2022;50;9;331
Chile;P053;05/08/2022;289;2;410
Spain;P052;05/08/2022;87;1;20
Poland;P031;05/08/2022;259;7;104
Paraguay;P034;05/08/2022;54;10;659
Canada;P033;05/08/2022;60;4;152
United Kingdom;P015;05/08/2022;476;2;62
Venezuela;P053;05/08/2022;341;8;288
China;P045;08/08/2022;127;2;473
South Africa;P002;08/08/2022;162;8;138
Iraq;P043;08/08/2022;172;3;410
Italy;P037;08/08/2022;495;5;398
Ecuador;P018;08/08/2022;20;6;109
Thailand;P019;08/08/2022;207;2;530
Brazil;P018;08/08/2022;192;5;369
Fiji;P001;08/08/2022;192;2;542
Spain;P053;08/08/2022;222;1;569
Poland;P032;08/08/2022;289;6;686
Paraguay;P035;08/08/2022;319;2;532
Canada;P034;08/08/2022;240;7;374
Uruguay;P017;08/08/2022;376;8;679
United Kingdom;P016;08/08/2022;543;1;196
Cuba;P030;08/08/2022;177;6;272
Iraq;P051;08/08/2022;290;10;330
Japan;P050;08/08/2022;227;6;548
Mongolia;P031;08/08/2022;512;8;72
Pakistan;P032;08/08/2022;311;10;101
Tanzania;P023;08/08/2022;103;1;252
Chile;P014;08/08/2022;167;3;583
Spain;P013;08/08/2022;89;3;592
South Africa;P027;08/08/2022;52;3;178
Peru;P048;08/08/2022;330;6;608
USA;P047;08/08/2022;433;10;116
Algeria;P030;08/08/2022;94;10;622
Germany;P029;08/08/2022;448;1;537
Saudi Arabia;P016;08/08/2022;399;1;375
Iraq;P011;08/08/2022;234;7;457
Japan;P010;08/08/2022;218;1;389
Argentina;P029;08/08/2022;196;10;635
Indonesia;P045;08/08/2022;144;2;396
Libya;P052;08/08/2022;220;1;205
Ukraine;P027;08/08/2022;123;1;611
France;P026;08/08/2022;199;1;109
Malaysia;P040;08/08/2022;63;4;64
Peru;P008;08/08/2022;436;1;494
USA;P007;08/08/2022;410;8;609
Fiji;P043;08/08/2022;262;9;400
Russia;P042;08/08/2022;104;8;315
Nicaragua;P008;08/08/2022;109;6;262
Ecuador;P024;08/08/2022;113;3;374
Mexico;P023;08/08/2022;461;5;623
Yemen;P015;08/08/2022;372;7;222
Indonesia;P005;08/08/2022;152;7;270
Turkey;P050;08/08/2022;193;1;85
Honduras;P040;08/08/2022;88;1;628
Italy;P039;08/08/2022;198;10;619
Bolivia;P035;08/08/2022;223;9;141
Thailand;P021;08/08/2022;582;1;56
Brazil;P020;08/08/2022;419;6;589
Fiji;P003;08/08/2022;142;5;680
Russia;P002;08/08/2022;275;6;372
Poland;P034;08/08/2022;125;9;232
Paraguay;P037;08/08/2022;136;4;337
Canada;P036;08/08/2022;130;1;519
United Kingdom;P018;08/08/2022;255;10;431
Cuba;P032;08/08/2022;93;8;675
China;P046;09/08/2022;581;2;680
South Africa;P003;09/08/2022;399;9;639
Iraq;P044;09/08/2022;298;5;342
Italy;P038;09/08/2022;150;2;227
Ecuador;P019;09/08/2022;26;9;241
Thailand;P020;09/08/2022;208;7;693
Brazil;P019;09/08/2022;153;1;278
Fiji;P002;09/08/2022;180;2;503
Russia;P001;09/08/2022;232;9;266
Poland;P033;09/08/2022;258;5;333
Paraguay;P036;09/08/2022;312;9;158
Canada;P035;09/08/2022;268;10;447
Uruguay;P018;09/08/2022;436;1;235
United Kingdom;P017;09/08/2022;462;1;534
Cuba;P031;09/08/2022;128;1;611
Iraq;P052;09/08/2022;334;6;340
Japan;P051;09/08/2022;427;6;151
Mongolia;P032;09/08/2022;164;2;418
Pakistan;P033;09/08/2022;413;9;74
Tanzania;P024;09/08/2022;297;6;182
Chile;P015;09/08/2022;278;7;577
Spain;P014;09/08/2022;470;4;493
South Africa;P028;09/08/2022;140;3;257
Peru;P049;09/08/2022;332;3;407
USA;P048;09/08/2022;114;7;410
Algeria;P031;09/08/2022;232;10;51
Germany;P030;09/08/2022;200;2;669
Saudi Arabia;P017;09/08/2022;364;8;31
Iraq;P012;09/08/2022;251;3;603
Japan;P011;09/08/2022;211;5;470
Argentina;P030;09/08/2022;438;3;10
Indonesia;P046;09/08/2022;270;4;158
Libya;P053;09/08/2022;180;4;397
Ukraine;P028;09/08/2022;68;9;418
France;P027;09/08/2022;205;8;401
Malaysia;P041;09/08/2022;200;9;614
Peru;P009;09/08/2022;450;6;410
USA;P008;09/08/2022;500;5;636
Fiji;P044;09/08/2022;272;5;79
Russia;P043;09/08/2022;329;6;60
Nicaragua;P009;09/08/2022;121;7;534
Ecuador;P025;09/08/2022;223;9;230
Mexico;P024;09/08/2022;396;9;169
Yemen;P016;09/08/2022;44;8;601
Indonesia;P006;09/08/2022;590;8;406
Turkey;P051;09/08/2022;159;9;479
Honduras;P041;09/08/2022;100;9;378
Italy;P040;09/08/2022;122;10;660
Bolivia;P036;09/08/2022;39;6;585
Thailand;P022;09/08/2022;492;10;536
Brazil;P021;09/08/2022;12;7;265
Fiji;P004;09/08/2022;395;7;469
Russia;P003;09/08/2022;36;9;507
New Zealand;P001;09/08/2022;587;4;285
Paraguay;P038;09/08/2022;474;9;140
Canada;P037;09/08/2022;215;8;635
United Kingdom;P019;09/08/2022;495;5;92
Cuba;P033;09/08/2022;558;3;480
China;P047;10/08/2022;568;1;587
South Africa;P004;10/08/2022;229;10;313
Iraq;P045;10/08/2022;201;4;125
Italy;P039;10/08/2022;362;4;639
Ecuador;P020;10/08/2022;76;2;213
Thailand;P021;10/08/2022;260;8;301
Brazil;P020;10/08/2022;328;4;454
Fiji;P003;10/08/2022;304;6;592
Russia;P002;10/08/2022;198;9;481
Poland;P034;10/08/2022;299;4;145
Paraguay;P037;10/08/2022;366;8;443
Canada;P036;10/08/2022;265;7;430
Uruguay;P019;10/08/2022;343;5;346
United Kingdom;P018;10/08/2022;404;7;487
Cuba;P032;10/08/2022;121;3;562
Iraq;P053;10/08/2022;297;1;226
Japan;P052;10/08/2022;221;10;578
Mongolia;P033;10/08/2022;528;5;653
Pakistan;P034;10/08/2022;508;8;509
Tanzania;P025;10/08/2022;193;9;81
Chile;P016;10/08/2022;159;8;100
Spain;P015;10/08/2022;60;1;545
South Africa;P029;10/08/2022;206;1;677
Peru;P050;10/08/2022;88;3;465
USA;P049;10/08/2022;491;5;69
Algeria;P032;10/08/2022;218;5;472
Germany;P031;10/08/2022;464;8;682
Saudi Arabia;P033;10/08/2022;416;8;296
Iraq;P013;10/08/2022;318;9;317
Japan;P012;10/08/2022;66;8;482
Argentina;P031;10/08/2022;294;7;203
Indonesia;P047;10/08/2022;255;9;252
Niger;P036;10/08/2022;118;8;330
Ukraine;P029;10/08/2022;228;9;290
France;P028;10/08/2022;362;9;107
Malaysia;P042;10/08/2022;311;3;345
Peru;P010;10/08/2022;445;5;605
USA;P009;10/08/2022;390;5;131
Fiji;P045;10/08/2022;216;3;690
Russia;P044;10/08/2022;271;1;278
Nicaragua;P031;10/08/2022;178;2;529
Ecuador;P026;10/08/2022;155;7;519
Mexico;P025;10/08/2022;377;10;665
Yemen;P017;10/08/2022;501;9;518
Indonesia;P007;10/08/2022;75;10;527
Turkey;P052;10/08/2022;312;4;414
Honduras;P042;10/08/2022;113;5;42
Italy;P041;10/08/2022;90;10;465
Bolivia;P037;10/08/2022;80;7;683
Thailand;P023;10/08/2022;73;3;450
Brazil;P022;10/08/2022;446;9;621
Fiji;P005;10/08/2022;370;6;615
Russia;P004;10/08/2022;542;7;151
New Zealand;P002;10/08/2022;503;2;547
Paraguay;P039;10/08/2022;573;2;464
Canada;P038;10/08/2022;520;4;496
United Kingdom;P020;10/08/2022;249;2;530
Cuba;P034;10/08/2022;138;6;251
China;P048;11/08/2022;512;2;350
South Africa;P005;11/08/2022;82;4;175
Iraq;P046;11/08/2022;378;5;41
Italy;P040;11/08/2022;425;5;353
Ecuador;P021;11/08/2022;35;5;286
Thailand;P022;11/08/2022;539;4;132
Brazil;P021;11/08/2022;355;9;410
Fiji;P004;11/08/2022;159;9;332
Russia;P003;11/08/2022;455;2;76
New Zealand;P001;11/08/2022;479;9;177
Paraguay;P038;11/08/2022;247;10;624
Canada;P037;11/08/2022;450;3;444
Uruguay;P020;11/08/2022;294;1;524
United Kingdom;P019;11/08/2022;335;4;423
Cuba;P033;11/08/2022;225;4;116
Honduras;P001;11/08/2022;99;1;388
Japan;P053;11/08/2022;301;10;633
Mongolia;P034;11/08/2022;566;2;512
Pakistan;P035;11/08/2022;205;5;476
Tanzania;P026;11/08/2022;276;10;650
Chile;P017;11/08/2022;50;9;145
Spain;P016;11/08/2022;405;3;223
South Africa;P030;11/08/2022;142;2;354
Peru;P051;11/08/2022;61;2;662
USA;P050;11/08/2022;415;4;38
Algeria;P033;11/08/2022;150;8;583
Germany;P032;11/08/2022;403;9;261
Saudi Arabia;P034;11/08/2022;573;6;607
Iraq;P014;11/08/2022;371;10;153
Japan;P013;11/08/2022;345;5;86
Argentina;P032;11/08/2022;104;10;14
Indonesia;P048;11/08/2022;143;7;97
Niger;P037;11/08/2022;222;5;83
